Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
England,Premier League,2021-01-04,2021-01-04,13:14,Southampton,Liverpool,5.28,1.61,4.48
England,Premier League,2021-01-12,2021-01-04,13:14,Sheffield Utd,Newcastle,2.55,2.94,3.22
England,Premier League,2021-01-12,2021-01-04,13:14,Burnley,Manchester Utd,6.75,1.49,4.50
England,Premier League,2021-01-12,2021-01-04,13:14,Wolves,Everton,2.53,2.94,3.26
England,Premier League,2021-01-13,2021-01-04,13:14,Manchester City,Brighton,1.21,13.84,6.76
England,Premier League,2021-01-13,2021-01-04,13:14,Aston Villa,Tottenham,2.77,2.44,3.68
England,Premier League,2021-01-14,2021-01-04,13:14,Arsenal,Crystal Palace,1.56,6.33,4.14
England,Premier League,2021-01-15,2021-01-04,13:14,Fulham,Chelsea,5.96,1.56,4.25
England,Premier League,2021-01-16,2021-01-04,13:14,Wolves,West Brom,1.54,6.88,4.04
England,Premier League,2021-01-16,2021-01-04,13:14,Leeds,Brighton,2.05,3.48,3.74
England,Premier League,2021-01-16,2021-01-04,13:14,West Ham,Burnley,1.90,4.26,3.56
England,Premier League,2021-01-16,2021-01-04,13:14,Aston Villa,Everton,2.28,2.98,3.68
England,Premier League,2021-01-16,2021-01-04,13:14,Leicester,Southampton,2.00,3.70,3.62
England,Premier League,2021-01-17,2021-01-04,13:14,Sheffield Utd,Tottenham,6.77,1.49,4.42
England,Premier League,2021-01-17,2021-01-04,13:14,Liverpool,Manchester Utd,2.08,3.44,3.70
England,Premier League,2021-01-17,2021-01-04,13:14,Manchester City,Crystal Palace,1.20,14.40,7.04
England,Premier League,2021-01-18,2021-01-04,13:14,Arsenal,Newcastle,1.57,5.94,4.26
,,,,,,,,,
Europe,Champions League,2021-02-16,2021-01-04,13:14,Barcelona,Paris SG,2.31,2.89,3.72
Europe,Champions League,2021-02-16,2021-01-04,13:14,RB Leipzig,Liverpool,3.17,2.18,3.65
Europe,Champions League,2021-02-17,2021-01-04,13:14,FC Porto,Juventus,4.36,1.93,3.35
Europe,Champions League,2021-02-17,2021-01-04,13:14,Sevilla,Dortmund,2.52,2.83,3.37
Europe,Champions League,2021-02-23,2021-01-04,13:14,Atl. Madrid,Chelsea,2.40,3.18,3.16
Europe,Champions League,2021-02-23,2021-01-04,13:14,Lazio,Bayern Munich,5.30,1.58,4.37
Europe,Champions League,2021-02-24,2021-01-04,13:14,Atalanta,Real Madrid,3.16,2.14,3.79
Europe,Champions League,2021-02-24,2021-01-04,13:14,B. Monchengladbach,Manchester City,5.42,1.57,4.37
,,,,,,,,,
Europe,Europa League,2021-02-18,2021-01-04,13:14,Braga,AS Roma,3.24,2.17,3.55
Europe,Europa League,2021-02-18,2021-01-04,13:14,FK Crvena zvezda,AC Milan,4.66,1.75,3.78
Europe,Europa League,2021-02-18,2021-01-04,13:14,Dyn. Kyiv,Club Brugge KV,2.51,2.77,3.45
Europe,Europa League,2021-02-18,2021-01-04,13:14,Krasnodar,D. Zagreb,2.14,3.57,3.33
Europe,Europa League,2021-02-18,2021-01-04,13:14,Olympiacos Piraeus,PSV,2.08,3.47,3.56
Europe,Europa League,2021-02-18,2021-01-04,13:14,Real Sociedad,Manchester Utd,2.74,2.52,3.45
Europe,Europa League,2021-02-18,2021-01-04,13:14,Slavia Prague,Leicester,3.47,2.07,3.55
Europe,Europa League,2021-02-18,2021-01-04,13:14,Wolfsberger AC,Tottenham,5.61,1.59,4.13
Europe,Europa League,2021-02-18,2021-01-04,13:14,Young Boys,Bayer Leverkusen,3.71,1.93,3.79
Europe,Europa League,2021-02-18,2021-01-04,13:14,Antwerp,Rangers,3.38,2.11,3.56
Europe,Europa League,2021-02-18,2021-01-04,13:14,Benfica,Arsenal,2.42,2.84,3.51
Europe,Europa League,2021-02-18,2021-01-04,13:14,Granada CF,Napoli,3.56,2.08,3.46
Europe,Europa League,2021-02-18,2021-01-04,13:14,Lille,Ajax,2.73,2.54,3.44
Europe,Europa League,2021-02-18,2021-01-04,13:14,Maccabi Tel Aviv,Shakhtar Donetsk,3.98,1.97,3.44
Europe,Europa League,2021-02-18,2021-01-04,13:14,Molde,Hoffenheim,4.56,1.73,3.96
Europe,Europa League,2021-02-18,2021-01-04,13:14,Salzburg,Villarreal,2.22,3.08,3.66
,,,,,,,,,
Europe,Euro 2020,2021-06-11,2021-01-04,13:14,Turkey,Italy,8.09,1.47,4.08
Europe,Euro 2020,2021-06-12,2021-01-04,13:14,Wales,Switzerland,3.51,2.31,3.04
Europe,Euro 2020,2021-06-12,2021-01-04,13:14,Denmark,Finland,1.51,6.86,4.15
Europe,Euro 2020,2021-06-12,2021-01-04,13:14,Belgium,Russia,1.78,4.72,3.66
Europe,Euro 2020,2021-06-13,2021-01-04,13:14,England,Croatia,1.85,4.48,3.51
Europe,Euro 2020,2021-06-13,2021-01-04,13:14,Austria,North Macedonia,1.48,7.56,4.24
Europe,Euro 2020,2021-06-13,2021-01-04,13:14,Netherlands,Ukraine,1.60,6.06,3.90
Europe,Euro 2020,2021-06-14,2021-01-04,13:14,Scotland,Czech Republic,2.71,2.76,3.18
Europe,Euro 2020,2021-06-14,2021-01-04,13:14,Poland,Slovakia,1.86,4.59,3.44
Europe,Euro 2020,2021-06-14,2021-01-04,13:14,Spain,Sweden,1.39,8.26,4.77
Europe,Euro 2020,2021-06-15,2021-01-04,13:14,Hungary,Portugal,5.38,1.67,3.83
