Country of League,League,Date of Collection,Team,Standing
Spain,Spain LaLiga,2020-04-24,Barcelona,1.
Spain,Spain LaLiga,2020-04-24,Real Madrid,2.
Spain,Spain LaLiga,2020-04-24,Sevilla,3.
Spain,Spain LaLiga,2020-04-24,Real Sociedad,4.
Spain,Spain LaLiga,2020-04-24,Getafe,5.
Spain,Spain LaLiga,2020-04-24,Atl. Madrid,6.
Spain,Spain LaLiga,2020-04-24,Valencia,7.
Spain,Spain LaLiga,2020-04-24,Villarreal,8.
Spain,Spain LaLiga,2020-04-24,Granada CF,9.
Spain,Spain LaLiga,2020-04-24,Ath Bilbao,10.
Spain,Spain LaLiga,2020-04-24,Osasuna,11.
Spain,Spain LaLiga,2020-04-24,Betis,12.
Spain,Spain LaLiga,2020-04-24,Levante,13.
Spain,Spain LaLiga,2020-04-24,Alaves,14.
Spain,Spain LaLiga,2020-04-24,Valladolid,15.
Spain,Spain LaLiga,2020-04-24,Eibar,16.
Spain,Spain LaLiga,2020-04-24,Celta Vigo,17.
Spain,Spain LaLiga,2020-04-24,Mallorca,18.
Spain,Spain LaLiga,2020-04-24,Leganes,19.
Spain,Spain LaLiga,2020-04-24,Espanyol,20.
,,,,
Belarus,Belarus Vysshaya Liga,2020-04-24,Slutsk,1.
Belarus,Belarus Vysshaya Liga,2020-04-24,Vitebsk,2.
Belarus,Belarus Vysshaya Liga,2020-04-24,Zhodino,3.
Belarus,Belarus Vysshaya Liga,2020-04-24,Gorodeja,4.
Belarus,Belarus Vysshaya Liga,2020-04-24,Isloch Minsk,5.
Belarus,Belarus Vysshaya Liga,2020-04-24,Energetik-BGU,6.
Belarus,Belarus Vysshaya Liga,2020-04-24,Slavia Mozyr,7.
Belarus,Belarus Vysshaya Liga,2020-04-24,BATE,8.
Belarus,Belarus Vysshaya Liga,2020-04-24,Rukh Brest,9.
Belarus,Belarus Vysshaya Liga,2020-04-24,Brest,10.
Belarus,Belarus Vysshaya Liga,2020-04-24,FC Minsk,11.
Belarus,Belarus Vysshaya Liga,2020-04-24,Din. Minsk,12.
Belarus,Belarus Vysshaya Liga,2020-04-24,Shakhtyor Soligorsk,13.
Belarus,Belarus Vysshaya Liga,2020-04-24,Neman,14.
Belarus,Belarus Vysshaya Liga,2020-04-24,Smolevichi,15.
Belarus,Belarus Vysshaya Liga,2020-04-24,Belshina,16.
,,,,
Belarus,Belarus Pershaya Liga,2020-04-24,Lokomotiv Gomel,1.
Belarus,Belarus Pershaya Liga,2020-04-24,Krumkachy,2.
Belarus,Belarus Pershaya Liga,2020-04-24,Oshmyany,3.
Belarus,Belarus Pershaya Liga,2020-04-24,Smorgon,4.
Belarus,Belarus Pershaya Liga,2020-04-24,Sputnik,5.
Belarus,Belarus Pershaya Liga,2020-04-24,Volna Pinsk,6.
Belarus,Belarus Pershaya Liga,2020-04-24,FC Slonim,7.
Belarus,Belarus Pershaya Liga,2020-04-24,Orsha,8.
Belarus,Belarus Pershaya Liga,2020-04-24,Mikashevichi,9.
Belarus,Belarus Pershaya Liga,2020-04-24,Arsenal Dzyarzhynsk,10.
Belarus,Belarus Pershaya Liga,2020-04-24,Lida,11.
Belarus,Belarus Pershaya Liga,2020-04-24,FC Gomel,12.
Belarus,Belarus Pershaya Liga,2020-04-24,Chimik Svetlogorsk,13.
Belarus,Belarus Pershaya Liga,2020-04-24,Naftan,14.
,,,,
Belarus,Belarus Division 2 - Group A,2020-04-24,Molodechno,1.
Belarus,Belarus Division 2 - Group A,2020-04-24,Stanles Pinsk,2.
Belarus,Belarus Division 2 - Group A,2020-04-24,Meliorator Zhitkovichi,3.
Belarus,Belarus Division 2 - Group A,2020-04-24,Ostrovets,4.
Belarus,Belarus Division 2 - Group A,2020-04-24,Kronon Stolbtsy,5.
Belarus,Belarus Division 2 - Group A,2020-04-24,Pershiy Region,6.
Belarus,Belarus Division 2 - Group A,2020-04-24,Baranovici,7.
Belarus,Belarus Division 2 - Group A,2020-04-24,Ivatsevichi,8.
Belarus,Belarus Division 2 - Group A,2020-04-24,Chayka Zelva,9.
Belarus,Belarus Division 2 - Group A,2020-04-24,BGU Minsk,10.
Belarus,Belarus Division 2 - Group A,2020-04-24,Brest Malorita,11.
,,,,
Belarus,Belarus Division 2 - Group B,2020-04-24,Viktoria Mar. Gorka,1.
Belarus,Belarus Division 2 - Group B,2020-04-24,BumProm Gomel,2.
Belarus,Belarus Division 2 - Group B,2020-04-24,Petrikov,3.
Belarus,Belarus Division 2 - Group B,2020-04-24,Gorki,4.
Belarus,Belarus Division 2 - Group B,2020-04-24,Osipovichi,5.
Belarus,Belarus Division 2 - Group B,2020-04-24,Dnepr Mogilev,6.
Belarus,Belarus Division 2 - Group B,2020-04-24,Energetik-BGATU,7.
Belarus,Belarus Division 2 - Group B,2020-04-24,Zhlobin,8.
Belarus,Belarus Division 2 - Group B,2020-04-24,SMIavtotrans,9.
Belarus,Belarus Division 2 - Group B,2020-04-24,Polotsk,10.
Belarus,Belarus Division 2 - Group B,2020-04-24,Dnepr Rogachev,11.
,,,,
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Din. Minsk 2,1.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Neman 2,2.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Minsk 2,3.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Rukh Brest 2,4.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Sachter Soligorsk 2,5.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Smolevichi 2,6.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Isloch Minsk 2,7.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Zhodino 2,8.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Slutsk 2,9.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Vitebsk 2,10.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Belshina 2,11.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Energetik-BGU 2,12.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,BATE 2,13.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Brest 2,14.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,Slavia Mozyr 2,15.
Belarus,Belarus Vysshaya Liga Reserve,2020-04-24,FK Gorodeja 2,16.
,,,,
Europe,Europe UEFA Nations League,2020-04-24,Poland,1.
Europe,Europe UEFA Nations League,2020-04-24,Netherlands,2.
Europe,Europe UEFA Nations League,2020-04-24,Italy,3.
Europe,Europe UEFA Nations League,2020-04-24,Bosnia & Herzegovina,4.
Europe,Europe UEFA Nations League,2020-04-24,Belgium,1.
Europe,Europe UEFA Nations League,2020-04-24,Iceland,2.
Europe,Europe UEFA Nations League,2020-04-24,Denmark,3.
Europe,Europe UEFA Nations League,2020-04-24,England,4.
Europe,Europe UEFA Nations League,2020-04-24,Sweden,1.
Europe,Europe UEFA Nations League,2020-04-24,France,2.
