Nation of League,League,Date of Game,Date of Data Collection,Time of Scrape,Home Team,Away Team,Home Team Average Odds,Away Team Average Odds,Draw Odds
Spain,LaLiga,2020-04-26,2020-04-24,14:56,Barcelona,Atl. Madrid,1.81,3.26,4.6
,,,,,,,,,
Belarus,Vysshaya Liga,2020-04-24,2020-04-24,14:56,Smolevichi,Din. Minsk,4.3,1.97,3.03
Belarus,Vysshaya Liga,2020-04-24,2020-04-24,14:56,Neman,Energetik-BGU,2.43,3.09,3.02
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,14:56,Slavia Mozyr,FC Minsk,2.07,3.67,3.2
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,14:56,Gorodeja,BATE,5.99,1.59,3.68
Belarus,Vysshaya Liga,2020-04-25,2020-04-24,14:56,Brest,Shakhtyor Soligorsk,2.36,2.95,3.27
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,14:56,Slutsk,Belshina,1.76,4.62,3.55
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,14:56,Zhodino,Rukh Brest,2.0,4.19,3.04
Belarus,Vysshaya Liga,2020-04-26,2020-04-24,14:56,Isloch Minsk,Vitebsk,2.02,3.93,3.14
,,,,,,,,,
Belarus,Pershaya Liga,2020-04-25,2020-04-24,14:56,FC Slonim,Orsha,2.35,2.71,3.21
Belarus,Pershaya Liga,2020-04-25,2020-04-24,14:56,Naftan,Lida,1.91,3.46,3.48
Belarus,Pershaya Liga,2020-04-25,2020-04-24,14:56,Smorgon,Volna Pinsk,2.4,2.72,3.17
Belarus,Pershaya Liga,2020-04-25,2020-04-24,14:56,Oshmyany,Sputnik,3.13,2.0,3.54
Belarus,Pershaya Liga,2020-04-26,2020-04-24,14:56,Mikashevichi,Arsenal Dzyarzhynsk,2.99,2.1,3.43
Belarus,Pershaya Liga,2020-04-26,2020-04-24,14:56,Chimik Svetlogorsk,Krumkachy,11.98,1.16,6.46
Belarus,Pershaya Liga,2020-04-26,2020-04-24,14:56,FC Gomel,Lokomotiv Gomel,1.92,3.64,3.26
,,,,,,,,,
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,14:57,Ostrovets,Kronon Stolbtsy,1.8,3.63,3.88
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,14:57,Baranovici,Brest Malorita,2.11,2.65,4.13
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,14:57,Stanles Pinsk,Chayka Zelva,1.17,11.85,6.63
Belarus,Division 2 - Group A,2020-04-25,2020-04-24,14:57,BGU Minsk,Pershiy Region,2.18,2.73,3.71
,,,,,,,,,
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,14:57,SMIavtotrans,Energetik-BGATU,1.83,3.46,3.88
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,14:57,Dnepr Mogilev,Osipovichi,1.42,6.36,4.58
Belarus,Division 2 - Group B,2020-04-25,2020-04-24,14:57,Zhlobin,Polotsk,1.81,3.32,4.15
,,,,,,,,,
Belarus,Belarusian Cup,2020-04-29,2020-04-24,14:57,Shakhtyor Soligorsk,Brest,2.13,3.4,3.16
Belarus,Belarusian Cup,2020-04-29,2020-04-24,14:57,BATE,Slavia Mozyr,1.35,8.35,4.55
,,,,,,,,,
Belarus,Vysshaya Liga Reserve,2020-04-24,2020-04-24,14:57,Brest 2,Sachter Soligorsk 2,3.13,1.97,3.87
