Country of League,League,Date of Collection,Team,Standing
Spain,Spain LaLiga,2020-04-24,Barcelona,1.0
Spain,Spain LaLiga,2020-04-24,Real Madrid,2.0
Spain,Spain LaLiga,2020-04-24,Sevilla,3.0
Spain,Spain LaLiga,2020-04-24,Real Sociedad,4.0
Spain,Spain LaLiga,2020-04-24,Getafe,5.0
Spain,Spain LaLiga,2020-04-24,Atl. Madrid,6.0
Spain,Spain LaLiga,2020-04-24,Valencia,7.0
Spain,Spain LaLiga,2020-04-24,Villarreal,8.0
Spain,Spain LaLiga,2020-04-24,Granada CF,9.0
Spain,Spain LaLiga,2020-04-24,Ath Bilbao,10.0
Spain,Spain LaLiga,2020-04-24,Osasuna,11.0
Spain,Spain LaLiga,2020-04-24,Betis,12.0
Spain,Spain LaLiga,2020-04-24,Levante,13.0
Spain,Spain LaLiga,2020-04-24,Alaves,14.0
Spain,Spain LaLiga,2020-04-24,Valladolid,15.0
Spain,Spain LaLiga,2020-04-24,Eibar,16.0
Spain,Spain LaLiga,2020-04-24,Celta Vigo,17.0
Spain,Spain LaLiga,2020-04-24,Mallorca,18.0
Spain,Spain LaLiga,2020-04-24,Leganes,19.0
Spain,Spain LaLiga,2020-04-24,Espanyol,20.0
,,,,
Belarus,Belarus Vysshaya Liga,2020-04-24,Slutsk,1.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Vitebsk,2.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Zhodino,3.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Gorodeja,4.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Isloch Minsk,5.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Energetik-BGU,6.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Slavia Mozyr,7.0
Belarus,Belarus Vysshaya Liga,2020-04-24,BATE,8.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Rukh Brest,9.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Brest,10.0
Belarus,Belarus Vysshaya Liga,2020-04-24,FC Minsk,11.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Din. Minsk,12.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Shakhtyor Soligorsk,13.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Neman,14.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Smolevichi,15.0
Belarus,Belarus Vysshaya Liga,2020-04-24,Belshina,16.0
,,,,
Belarus,Belarus Pershaya Liga,2020-04-24,Lokomotiv Gomel,1.0
Belarus,Belarus Pershaya Liga,2020-04-24,Krumkachy,2.0
Belarus,Belarus Pershaya Liga,2020-04-24,Oshmyany,3.0
Belarus,Belarus Pershaya Liga,2020-04-24,Smorgon,4.0
Belarus,Belarus Pershaya Liga,2020-04-24,Sputnik,5.0
Belarus,Belarus Pershaya Liga,2020-04-24,Volna Pinsk,6.0
Belarus,Belarus Pershaya Liga,2020-04-24,FC Slonim,7.0
Belarus,Belarus Pershaya Liga,2020-04-24,Orsha,8.0
Belarus,Belarus Pershaya Liga,2020-04-24,Mikashevichi,9.0
Belarus,Belarus Pershaya Liga,2020-04-24,Arsenal Dzyarzhynsk,10.0
Belarus,Belarus Pershaya Liga,2020-04-24,Lida,11.0
Belarus,Belarus Pershaya Liga,2020-04-24,FC Gomel,12.0
Belarus,Belarus Pershaya Liga,2020-04-24,Chimik Svetlogorsk,13.0
Belarus,Belarus Pershaya Liga,2020-04-24,Naftan,14.0
,,,,
Belarus,Belarus Division 2 - Group A,2020-04-24,Molodechno,1.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Stanles Pinsk,2.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Meliorator Zhitkovichi,3.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Ostrovets,4.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Kronon Stolbtsy,5.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Pershiy Region,6.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Baranovici,7.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Ivatsevichi,8.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Chayka Zelva,9.0
Belarus,Belarus Division 2 - Group A,2020-04-24,BGU Minsk,10.0
Belarus,Belarus Division 2 - Group A,2020-04-24,Brest Malorita,11.0
,,,,
Belarus,Belarus Division 2 - Group B,2020-04-24,Viktoria Mar. Gorka,1.0
Belarus,Belarus Division 2 - Group B,2020-04-24,BumProm Gomel,2.0
Belarus,Belarus Division 2 - Group B,2020-04-24,Petrikov,3.0
Belarus,Belarus Division 2 - Group B,2020-04-24,Gorki,4.0
Belarus,Belarus Division 2 - Group B,2020-04-24,Osipovichi,5.0
Belarus,Belarus Division 2 - Group B,2020-04-24,Dnepr Mogilev,6.0
Belarus,Belarus Division 2 - Group B,2020-04-24,Energetik-BGATU,7.0
